"fromdate","todate","hours","total","ave_freq","ave_ccgt","ave_oil","ave_coal","ave_nuclear","ave_wind","ave_ps","ave_npshyd","ave_ocgt","ave_other","ave_biomass","ave_intfr","ave_intirl","ave_intned","ave_intew","ave_intnem","ave_solar","min_freq","min_ccgt","min_oil","min_coal","min_nuclear","min_wind","min_ps","min_npshyd","min_ocgt","min_other","min_biomass","min_intfr","min_intirl","min_intned","min_intew","min_intnem","min_solar","max_freq","max_ccgt","max_oil","max_coal","max_nuclear","max_wind","max_ps","max_npshyd","max_ocgt","max_other","max_biomass","max_intfr","max_intirl","max_intned","max_intew","max_intnem","max_solar","samples_freq","samples_ccgt","samples_oil","samples_coal","samples_nuclear","samples_wind","samples_ps","samples_npshyd","samples_ocgt","samples_other","samples_biomass","samples_intfr","samples_intirl","samples_intned","samples_intew","samples_intnem","samples_solar","source_freq","source_ccgt","source_oil","source_coal","source_nuclear","source_wind","source_ps","source_npshyd","source_ocgt","source_other","source_biomass","source_intfr","source_intirl","source_intned","source_intew","source_intnem","source_solar"
"2019-01-01 00:00:00","2019-01-02 00:00:00",24,29114.4248,49.9829785,11610.3438,0.0000,616.6181,6577.1181,6263.8611,205.1667,503.6389,0.0000,66.0903,1161.4618,1620.7222,-453.5417,727.9514,-486.1597,-999999,701.1538,49.800,4689,0,0,6321,4104,0,322,0,63,900,508,-456,-444,-536,-999999,0,50.165,18209,0,2664,6936,9444,1172,964,0,91,1579,1998,-410,1058,-240,-999999,2310,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,156,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-02 00:00:00","2019-01-03 00:00:00",24,36366.7458,49.9988368,20201.2153,0.0000,2741.2604,5973.9444,2142.6250,416.5694,554.8438,9.7153,66.6007,2040.8229,1862.7778,-450.7222,833.3264,-523.1667,-999999,496.9333,49.773,11770,0,299,5680,986,0,365,0,62,884,-16,-456,102,-536,-999999,0,50.203,25790,0,5747,6332,4139,2084,911,164,83,2827,1998,-356,1058,-302,-999999,1860,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,180,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-03 00:00:00","2019-01-04 00:00:00",24,38695.4154,50.0065269,22369.6563,0.0000,4033.7396,5847.6181,1366.8472,374.0451,502.3160,12.6181,67.8090,2209.8090,1931.1667,-415.0278,554.2917,-512.0069,-999999,352.5333,49.622,17770,0,299,5665,1131,0,302,0,63,1040,978,-456,-504,-536,-999999,0,50.286,25097,0,7059,6051,1617,1770,1019,100,110,2908,2000,-138,1058,-290,-999999,1320,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,180,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-04 00:00:00","2019-01-05 00:00:00",24,39092.9952,49.9995734,22293.4097,0.0000,2812.0590,6098.2083,2402.5208,192.2917,416.8229,6.3194,66.9375,2221.5694,1868.6597,-453.0833,596.6250,-134.9375,-999999,705.5926,49.800,17533,0,0,5942,1337,0,267,0,62,988,1094,-456,-356,-528,-999999,0,50.188,25177,0,5030,6220,3226,1220,748,100,107,2953,1998,-424,1058,0,-999999,2190,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,162,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-05 00:00:00","2019-01-06 00:00:00",24,35333.7361,49.9930530,20248.6389,0.0000,1408.2326,6136.3333,2688.3368,329.4375,446.2674,0.0000,67.7326,1576.1389,1831.1806,-406.2917,1010.6667,-88.7153,-999999,85.7778,49.773,15745,0,0,5961,2045,0,265,0,63,1019,660,-456,820,-478,-999999,0,50.233,23534,0,4184,6218,3512,1882,922,0,108,2222,1998,68,1058,0,-999999,415,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,216,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-06 00:00:00","2019-01-07 00:00:00",24,33970.9399,50.0147833,19614.0972,0.0000,1902.2292,6102.4757,1651.1875,309.1771,492.6875,0.0000,66.5208,1395.3958,1982.7431,-421.7500,987.6667,-412.1944,-999999,300.7037,49.761,12633,0,0,5953,782,0,271,0,63,928,1656,-456,370,-536,-999999,0,50.226,24137,0,5911,6205,4317,1869,909,0,84,1651,1998,-144,1058,-116,-999999,1150,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,162,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-07 00:00:00","2019-01-08 00:00:00",24,34971.9895,50.0010005,13231.3715,0.0000,1028.3403,6343.0000,10257.1597,129.8750,424.4861,0.0000,43.8715,1796.2465,952.5139,-126.1528,669.1736,-8.1458,-999999,230.2500,49.793,4434,0,0,5964,4418,0,262,0,36,747,-1056,-456,-118,-536,-999999,0,50.193,17758,0,2300,6557,12456,680,912,0,86,2747,2000,94,1058,504,-999999,791,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,168,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-08 00:00:00","2019-01-09 00:00:00",24,36256.5279,49.9882557,14413.8750,0.0000,1061.5417,6725.5799,9300.0729,332.3056,485.5243,0.0000,43.6250,1222.6354,1647.2917,-402.5069,847.4583,-420.8750,-999999,1000.0000,49.788,4282,0,0,5834,6129,0,338,0,40,845,866,-456,370,-536,-999999,0,50.198,22038,0,2449,6851,11654,1756,916,0,74,1637,2000,76,1058,56,-999999,4210,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,216,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-09 00:00:00","2019-01-10 00:00:00",24,39206.9264,50.0063248,19905.2188,0.0000,3064.8819,6571.8889,4203.9583,148.1076,427.4063,9.8993,46.1910,2020.7396,1692.4097,-432.5694,967.5694,-495.7083,-999999,1076.9333,49.738,12422,0,0,6451,2912,0,237,0,40,972,980,-456,532,-536,-999999,0,50.226,24410,0,6107,6850,6231,974,943,100,122,2840,1998,-156,1058,-100,-999999,3750,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,180,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2019-01-10 00:00:00","2019-01-11 00:00:00",24,38804.0485,50.0009946,21684.3194,0.0000,4071.4201,6614.5521,3255.2361,297.0278,506.2708,17.0139,54.5174,2283.7951,217.4097,-409.2292,340.6736,-378.2083,-999999,249.2500,49.768,15104,0,257,6443,2146,0,210,0,40,1018,-1310,-456,-708,-536,-999999,0,50.220,25292,0,6742,6686,5215,1178,1025,100,152,2874,1798,48,1058,50,-999999,1020,5760,288,288,288,288,288,288,288,288,288,288,288,288,288,288,0,192,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
