Category: All categories

Month,gym: (United States)
2004-01,49
2004-02,39
2004-03,39
2004-04,32
2004-05,36
2004-06,38
2004-07,40
2004-08,39
2004-09,39
2004-10,35
2004-11,36
2004-12,40
2005-01,50
2005-02,43
2005-03,43
2005-04,37
2005-05,36
2005-06,40
2005-07,40
2005-08,42
2005-09,37
2005-10,38
2005-11,39
2005-12,41
2006-01,56
2006-02,45
2006-03,45
2006-04,40
2006-05,41
2006-06,43
2006-07,46
2006-08,51
2006-09,46
2006-10,43
2006-11,46
2006-12,48
2007-01,65
2007-02,62
2007-03,57
2007-04,53
2007-05,52
2007-06,53
2007-07,50
2007-08,50
2007-09,50
2007-10,44
2007-11,46
2007-12,49
2008-01,62
2008-02,51
2008-03,48
2008-04,46
2008-05,45
2008-06,47
2008-07,48
2008-08,52
2008-09,53
2008-10,46
2008-11,47
2008-12,51
2009-01,63
2009-02,52
2009-03,50
2009-04,46
2009-05,48
2009-06,48
2009-07,47
2009-08,51
2009-09,46
2009-10,43
2009-11,44
2009-12,48
2010-01,62
2010-02,52
2010-03,50
2010-04,48
2010-05,48
2010-06,48
2010-07,48
2010-08,50
2010-09,46
2010-10,44
2010-11,45
2010-12,47
2011-01,69
2011-02,60
2011-03,60
2011-04,55
2011-05,54
2011-06,56
2011-07,55
2011-08,58
2011-09,56
2011-10,53
2011-11,56
2011-12,56
2012-01,74
2012-02,64
2012-03,60
2012-04,56
2012-05,57
2012-06,61
2012-07,62
2012-08,60
2012-09,56
2012-10,50
2012-11,51
2012-12,53
2013-01,71
2013-02,64
2013-03,63
2013-04,60
2013-05,60
2013-06,62
2013-07,63
2013-08,61
2013-09,59
2013-10,58
2013-11,59
2013-12,60
2014-01,76
2014-02,67
2014-03,66
2014-04,60
2014-05,59
2014-06,61
2014-07,62
2014-08,60
2014-09,57
2014-10,52
2014-11,56
2014-12,60
2015-01,74
2015-02,63
2015-03,62
2015-04,57
2015-05,58
2015-06,62
2015-07,61
2015-08,62
2015-09,58
2015-10,53
2015-11,57
2015-12,60
2016-01,82
2016-02,72
2016-03,72
2016-04,68
2016-05,68
2016-06,70
2016-07,100
2016-08,79
2016-09,67
2016-10,62
2016-11,63
2016-12,70
2017-01,85
2017-02,75
2017-03,73
2017-04,68
2017-05,69
2017-06,74
2017-07,76
2017-08,73
2017-09,66
2017-10,62
2017-11,66
2017-12,68
2018-01,86
2018-02,75
2018-03,71
2018-04,67
2018-05,67
2018-06,72
2018-07,72
2018-08,72
2018-09,64
2018-10,59
2018-11,67
2018-12,72
2019-01,85
2019-02,74
2019-03,71
2019-04,64
2019-05,67
2019-06,72
2019-07,68
2019-08,69
2019-09,64
2019-10,59
2019-11,67
